"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
./files\20140227_10-K_edgar_data_40545_0000040554-14-000023_1.txt,54355532,2956694,0.6664538163232312,0.2712150800860691,0.1049482969830493,0.1712047306890737,0.023810377401246124,0.025738206253335647,0.018737143579957885,0.06524178694176672,30738595,4942353,907679,1.4587864012982068,4.889254349621571,4905
./files\20140227_10-K_edgar_data_732712_0001193125-14-073266_1.txt,18913215,956996,1.0764935276636476,0.4593540620859439,0.16729432515914383,0.307629289986583,0.03552783919682005,0.04472327993011465,0.05851644103005656,0.12110813420327776,10584504,1480848,328670,1.5242853679639203,4.837923042520554,4644
./files\20140228_10-K_edgar_data_78003_0000078003-14-000018_1.txt,44445712,2578360,0.6349772723746877,0.38148280302207604,0.9670876060751796,0.2599326703796212,0.0356815960533052,0.03614700817573962,0.024162646023053416,0.07210009463379824,26451194,3948403,621127,1.5479199956561536,5.081004592066274,5620
./files\20140228_10-K_edgar_data_886982_0001193125-14-073792_1.txt,39620414,2007704,0.83827098018433,0.5846479361499504,0.30960739232476503,0.3529404732968605,0.06734060399341736,0.05732916804469185,0.04393077864067611,0.2219948757386547,21969991,3068475,688869,1.546277738152636,4.947799576033121,5272
./files\20140303_10-K_edgar_data_1103982_0001193125-14-079175_1.txt,22447447,933625,1.4074173249430981,0.7508367920739054,0.2938010443165082,0.6050609184629803,0.06876422546525639,0.03577453474360691,0.06437274066140046,0.19183290935868255,12317669,1788656,343971,1.5820495380907753,4.938535279153836,4751
./files\20140303_10-K_edgar_data_831001_0001104659-14-015152_1.txt,124038930,7001306,0.39035574220009805,0.2581089870946935,0.15824190515312428,0.18617954992968455,0.028494683706154253,0.024995336584345836,0.027123510956384426,0.0643737039917981,69763883,11703202,2739549,1.5160927118454757,5.0752231083743515,6176
./files\20140321_10-K_edgar_data_104169_0000104169-14-000019_1.txt,17670124,1104448,0.6183179289563656,0.2984296227617778,0.9955199339398505,0.2778763690096772,0.05486903865098221,0.03141840992061192,0.04282682389754882,0.09887292113345308,10652052,1496733,235463,1.5832904763284463,5.153945681462595,4349
./files\20140327_10-K_edgar_data_354950_0000354950-14-000008_1.txt,10150336,593703,0.9218413920765096,0.24692480920594978,0.6349976334968832,0.2784220393024795,0.03840303990379028,0.03419218026521678,0.024254551518183336,0.0892702243377581,6029041,890765,134056,1.5680011723033234,5.0987278150859945,3507
./files\20140725_10-K_edgar_data_320187_0000320187-14-000097_1.txt,21966330,1310077,0.6014150313302196,0.25509950941814874,1.009329985947391,0.2140332209480817,0.04327989881510781,0.030227230918487998,0.021296458147116545,0.06640831035122363,13141463,1951223,308293,1.572019812575902,5.144210607468111,4165
./files\20140731_10-K_edgar_data_789019_0001193125-14-289961_1.txt,18507199,829472,1.0425909494232475,0.49875101269241157,0.17794452374522587,0.38144747502025383,0.058591489525867055,0.0438833378341885,0.03881987577639751,0.09174511014235562,10215586,1494007,335096,1.5178800489950233,4.858208595347402,4292
./files\20140808_10-K_edgar_data_80424_0000080424-14-000057_1.txt,22989244,1303579,0.6865713547088439,0.24570816191423767,0.49939435968207524,0.1716044827356071,0.02470122639287684,0.020405360933246085,0.016876614305692254,0.07210917021523054,13651830,2056196,327746,1.5547657641002195,5.105448154657293,3647
./files\20140909_10-K_edgar_data_858877_0000858877-14-000029_1.txt,30333205,1771736,0.6219323872179603,0.2829992730293904,0.9062298220502376,0.17903344516338776,0.04142829405735392,0.026866305138011533,0.026132561510292727,0.06744797193261298,18115852,2707543,425132,1.5789829861785278,5.153417890701549,4276
./files\20141027_10-K_edgar_data_320193_0001193125-14-383437_1.txt,12082626,554125,1.2258966839612002,0.5220843672456575,0.2891044439431536,0.44394315362057296,0.09474396571170765,0.07579517256936612,0.05702684412361832,0.1393187457703587,6798677,944499,179762,1.5844114595082337,4.942031130160163,3811
./files\20141121_10-K_edgar_data_1403161_0001403161-14-000017_1.txt,22535629,1379044,0.8026574931619296,0.4628568776630767,0.9264388953506922,0.5780091135598284,0.10543535956793255,0.04582884955084827,0.07026606837780376,0.2181221193812525,13577964,1921747,298987,1.5658361879678966,5.104162738824867,4867
